# 字符	拼音	双拼	辅助码	完整编码	权重	来源
㑭	pi	pi	ol	piol	0	chars
㑮	hun	hp	oj	hpoj	0	chars
㑮	wen	wf	oj	wfoj	0	chars
㑯	xu	xu	oc	xuoc	0	chars
㑰	hui	hv	oo	hvoo	0	chars
㑱	rao	rk	od	rkod	0	chars
㑲	bei	bz	oj	bzoj	0	chars
㑲	nan	nj	oj	njoj	0	chars
㑳	zhou	vb	ou	vbou	0	chars
㑴	qin	qn	oe	qnoe	0	chars
㑵	han	hj	ok	hjok	0	chars
㑵	ji	ji	ok	jiok	0	chars
㑵	jie	jx	ok	jxok	0	chars
㑵	zha	va	ok	vaok	0	chars
㑵	zi	zi	ok	ziok	0	chars
㑶	xi	xi	od	xiod	0	chars
㑷	tai	tl	op	tlop	0	chars
㑸	ai	ai	or	aior	0	chars
㑸	yao	yk	or	ykor	0	chars
㑸	you	yb	or	ybor	0	chars
㑹	hui	hv	oa	hvoa	0	chars
㑺	jun	jp	os	jpos	0	chars
㑺	zun	zp	os	zpos	0	chars
㑻	ma	ma	ou	maou	0	chars
㑼	lve	lt	or	ltor	0	chars
㑽	tang	th	og	thog	0	chars
㑾	xiao	xc	or	xcor	0	chars
㑾	yao	yk	or	ykor	0	chars
㑿	zhao	vk	od	vkod	0	chars
㒀	zha	va	ob	vaob	0	chars
㒀	zhai	vl	ob	vlob	0	chars
㒁	yu	yu	oj	yuoj	0	chars
㒁	yun	yp	oj	ypoj	0	chars
㒂	ku	ku	oa	kuoa	0	chars
㒂	zhuo	vo	oa	vooa	0	chars
㒃	er	er	oc	eroc	0	chars
㒄	nang	nh	of	nhof	0	chars
㒄	nen	nf	of	nfof	0	chars
㒄	ran	rj	of	rjof	0	chars
㒅	qi	qi	ov	qiov	0	chars
㒆	chi	ii	om	iiom	0	chars
㒆	ke	ke	om	keom	0	chars
㒆	xi	xi	om	xiom	0	chars
㒆	xiao	xc	om	xcom	0	chars
㒆	yan	yj	om	yjom	0	chars
㒇	mu	mu	of	muof	0	chars
㒇	wu	wu	of	wuof	0	chars
㒈	han	hj	ok	hjok	0	chars
㒉	tang	th	od	thod	0	chars
㒊	se	se	om	seom	0	chars
㒋	si	si	ol	siol	0	chars
㒌	qiong	qs	on	qson	0	chars
㒍	lei	lz	of	lzof	0	chars
㒎	sa	sa	oy	saoy	0	chars
㒎	tan	tj	oy	tjoy	0	chars
㒏	han	hj	om	hjom	0	chars
㒐	xun	xp	oa	xpoa	0	chars
㒑	hui	hv	og	hvog	0	chars
㒑	kui	kv	og	kvog	0	chars
㒒	pu	pu	od	puod	0	chars
㒓	ta	ta	oq	taoq	0	chars
㒔	du	du	oi	duoi	0	chars
㒔	shu	uu	oi	uuoi	0	chars
㒔	tu	tu	oi	tuoi	0	chars
㒕	yang	yh	og	yhog	0	chars
㒖	ou	ou	ob	ouob	0	chars
㒗	tai	tl	og	tlog	0	chars
㒘	shu	uu	ot	uuot	0	chars
㒙	mian	mm	ob	mmob	0	chars
㒚	wen	wf	op	wfop	0	chars
㒚	yin	yn	op	ynop	0	chars
㒛	diao	dc	og	dcog	0	chars
㒜	yu	yu	oc	yuoc	0	chars
㒝	mie	mx	oi	mxoi	0	chars
㒝	wa	wa	oi	waoi	0	chars
㒞	jun	jp	os	jpos	0	chars
㒞	ke	ke	os	keos	0	chars
㒟	niao	nc	ov	ncov	0	chars
㒠	xie	xx	om	xxom	0	chars
㒡	you	yb	of	ybof	0	chars
㒢	yue	yt	ob	ytob	0	chars
㒣	ying	yy	op	yyop	0	chars
㒤	che	ie	oj	ieoj	0	chars
㒤	she	ue	oj	ueoj	0	chars
㒥	feng	fg	ot	fgot	0	chars
㒦	lei	lz	og	lzog	0	chars
㒧	li	li	og	liog	0	chars
㒨	xian	xm	ou	xmou	0	chars
㒩	luo	lo	oi	looi	0	chars
㒪	xi	xi	oo	xioo	0	chars
㒫	ji	ji	mu	jimu	0	chars
㒬	wang	wh	mg	whmg	0	chars
㒭	kun	kp	ru	kpru	0	chars
㒮	hui	hv	mo	hvmo	0	chars
㒯	ye	ye	fj	yefj	0	chars
㒰	quan	qr	om	qrom	0	chars
㒱	meng	mg	oi	mgoi	0	chars
㒲	cai	cl	oa	cloa	0	chars
㒳	liang	ld	bo	ldbo	0	chars
㒴	gu	gu	ou	guou	0	chars
㒵	mao	mk	hc	mkhc	0	chars
㒶	gong	gs	ca	gsca	0	chars
㒷	gua	gw	bc	gwbc	0	chars
㒷	xing	xy	bc	xybc	0	chars
㒷	xu	xu	bc	xubc	0	chars
㒸	sui	sv	co	svco	0	chars
㒸	xuan	xr	co	xrco	0	chars
㒹	dian	dm	jc	dmjc	0	chars
㒺	wang	wh	bo	whbo	0	chars
㒻	mao	mk	au	mkau	0	chars
㒼	man	mj	to	mjto	0	chars
㒽	quan	qr	au	qrau	0	chars
㒾	shi	ui	ad	uiad	0	chars
㒾	yi	yi	ad	yiad	0	chars
㒿	li	li	ag	liag	0	chars
㓀	bu	bu	by	buby	0	chars
