 	gtzm,gxzm
∞	awyg,mwng,aasx
∟	aasx
∠	aasx
∥	aasx,auoi
∦	aasx
∧	aalj,aza,nbmo,nbio
∨	aalj,hmja
∩	aasx
∪	aasx
∫	aasx,mjoy,mcoy
∬	aasx,xmmo,nmmo
∭	aasx,cmmo
∮	aasx,kzmo
∯	aasx,kgmo
∰	aasx,nmjo,lmco
∴	pvzo,aasx
∵	jduy,jduv,jdpm,aasx
∶	aasx
∷	aasx
∽	aasx
≈	zmba,zmbs,aasx
≒	aasx
≠	gmba,gmbs,aasx
≡	umba,umbs,aasx
≢	aasx
≤	kama,ksms,aasx
≥	gama,gsms,aasx
≪	aasx
≫	aasx
≮	aasx
≯	aasx
≰	aasx
≱	aasx
⊂	aasx
⊃	aasx
⊄	aasx
⊅	aasx
⊆	aasx
⊇	aasx
⊕	aaqf,njlo,juyj
⊖	aaqf,juth,juvh
⊗	aaqf,njlo,jumt
⊘	aaqf,juyo
⊙	aaqf,njri,juij,julb
⊚	aaqf,jujj
⊛	aaqf,jukm
⊜	aaqf,jumb
⊝	aaqf,jufe
⊞	aakf,fhyj
⊟	aakf,fhth,fhvh
⊠	aakf,fhmt
⊡	aakf,fhij,fhlb
⊥	aajh,meel
⊻	aalj,yehj,kehj
⊾	aajh
⊿	aajh
⌀	aajh,elox,eloh
⌁	aats,kzym,fkym
⌂	aats,wsya
⌒	aajh
⌓	aajh,yzae
⌔	aajh,wyae
⌘	aats
⌙	aalj,kcaa
⌚	aasj,mdcr,mdpc
⌛	aasj,vkvx
⌤	aadn
⌥	aadn
⌦	aadn
⌧	aadn
⌨	aadn,pypl,pypq
⌫	aadn,wxfr
⌬	aajh,efcg,efcl
⌭	aajh,jfst
⌮	aajh
⌯	aajh,xmrt,kmpt
⌰	aajh,ojvb
⌱	aajh
⌲	aajh,pntv
⌳	aajh,omtv
⍯	aakf
⍰	aakf
⍽	aadn
⍾	aadn
⍿	aadn
⎀	aadn,daod,dmod
⎁	aadn
⎂	aadn
⎃	aadn
⎄	aadn
⎅	aadn
⎆	aadn,hood,food
⎇	aadn
⎈	aadn
⎉	aadn
⎊	aadn,jvzu,jvzz
⎋	aadn,wxzz
⎌	aadn,davk,dsvk
⏎	aadn,jjhe,jjfk
⏏	aadn,yuzz,yjzz
⏚	aats,dsbv
⏛	aats,uwzz
⏢	aajh,fuae
⏣	aajh,efcg,efcl
⏤	aajh,ezht,eznt
⏥	aajh,agjt
⏦	aats,svak,svsk,svaf,svsf
⏧	aats
⏨	aats
⏰	aasj,tspj,csps
⏱	aasj,mkcr,mkpc
⏲	aasj,kdpj,kbps
⏳	aasj,vkvx
①	juav
②	jubd
③	jucd
④	julk
⑤	jubx
⑥	juso
⑦	juhd
⑧	juoa
⑨	juqy
⑩	jued
⑪	jeda
⑫	jedb
⑬	jedc
⑭	jedl
⑮	jedb
⑯	jeds
⑰	jedh
⑱	jedo
⑲	jedq
⑳	jbde
⑴	dmav
⑵	dmbd
⑶	dmcd
⑷	dmlk
⑸	dmbx
⑹	dmso
⑺	dmhd
⑻	dmoa
⑼	dmqy
⑽	dmed
⑾	deda
⑿	dedb
⒀	dedc
⒁	dedl
⒂	dedb
⒃	deds
⒄	dedh
⒅	dedo
⒆	dedq
⒇	dbde
⒈	aads
⒉	aads
⒊	aads
⒋	aads
⒌	aads
⒍	aads
⒎	aads
⒏	aads
⒐	aads
⒑	aads
⒒	aads
⒓	aads
⒔	aads
⒕	aads
⒖	aads
⒗	aads
⒘	aads
⒙	aads
⒚	aads
⒛	aads
⒜	aakx
⒝	aakx
⒞	aakx
⒟	aakx
⒠	aakx
⒡	aakx
⒢	aakx
⒣	aakx
⒤	aakx
⒥	aakx
⒦	aakx
⒧	aakx
⒨	aakx
⒩	aakx
⒪	aakx
⒫	aakx
⒬	aakx
⒭	aakx
⒮	aakx
⒯	aakx
⒰	aakx
⒱	aakx
⒲	aakx
⒳	aakx
⒴	aakx
⒵	aakx
Ⓐ	aaqd
Ⓑ	aaqd
Ⓒ	aaqd
Ⓓ	aaqd
Ⓔ	aaqd
Ⓕ	aaqd
Ⓖ	aaqd
Ⓗ	aaqd
Ⓘ	aaqd
Ⓙ	aaqd
Ⓚ	aaqd
Ⓛ	aaqd
Ⓜ	aaqd
Ⓝ	aaqd
Ⓞ	aaqd
Ⓟ	aaqd
Ⓠ	aaqd
Ⓡ	aaqd
Ⓢ	aaqd
Ⓣ	aaqd
Ⓤ	aaqd
Ⓥ	aaqd
Ⓦ	aaqd
Ⓧ	aaqd
Ⓨ	aaqd
Ⓩ	aaqd
ⓐ	aaqx
ⓑ	aaqx
ⓒ	aaqx
ⓓ	aaqx
ⓔ	aaqx
ⓕ	aaqx
ⓖ	aaqx
ⓗ	aaqx
