 	gtzm,gxzm
뎆	haka·匸一〢ㅈ
뎇	haso·匸一〢亠人
뎈	haxa·匸一〢𠃍一
뎉	hakh·匸一〢ㅌ
뎊	haka·匸一〢ㅍ
뎋	haks·匸一〢ㅎ
뎌	hbi·匸二丨
뎍	hbix·匸二丨𠃍
뎎	hbxx·匸二丨𠃍𠃍
뎏	hbxo·匸二丨𠃍人
뎐	hbiz·匸二丨𠃊
뎑	hbza·匸二丨𠃊ㅈ
뎒	hbzs·匸二丨𠃊ㅎ
뎓	hbih·匸二丨匸
뎔	hbiy·匸二丨己
뎕	hbyx·匸二丨己𠃍
뎖	hbyj·匸二丨己口
뎗	hbyk·匸二丨己ㅂ
뎘	hbyo·匸二丨己人
뎙	hbyh·匸二丨己ㅌ
뎚	hbya·匸二丨己ㅍ
뎛	hbys·匸二丨己ㅎ
뎜	hbij·匸二丨口
뎝	hbik·匸二丨ㅂ
뎞	hbko·匸二丨ㅂ人
뎟	hbio·匸二丨人
뎠	hbio·匸二丨ㅆ
뎡	hbij·匸二丨㇣
뎢	hbia·匸二丨ㅈ
뎣	hbso·匸二丨亠人
뎤	hbxa·匸二丨𠃍一
뎥	hbih·匸二丨ㅌ
뎦	hbia·匸二丨ㅍ
뎧	hbis·匸二丨ㅎ
뎨	hbkd·匸二〢
뎩	hbkx·匸二〢𠃍
뎪	hbxx·匸二〢𠃍𠃍
뎫	hbxo·匸二〢𠃍人
뎬	hbkz·匸二〢𠃊
뎭	hbza·匸二〢𠃊ㅈ
뎮	hbzs·匸二〢𠃊ㅎ
뎯	hbkh·匸二〢匸
뎰	hbky·匸二〢己
뎱	hbyx·匸二〢己𠃍
뎲	hbyj·匸二〢己口
뎳	hbyk·匸二〢己ㅂ
뎴	hbyo·匸二〢己人
뎵	hbyh·匸二〢己ㅌ
뎶	hbya·匸二〢己ㅍ
뎷	hbys·匸二〢己ㅎ
뎸	hbkj·匸二〢口
뎹	hbkk·匸二〢ㅂ
뎺	hbko·匸二〢ㅂ人
뎻	hbko·匸二〢人
뎼	hbko·匸二〢ㅆ
뎽	hbkj·匸二〢㇣
뎾	hbka·匸二〢ㅈ
뎿	hbso·匸二〢亠人
돀	hbxa·匸二〢𠃍一
돁	hbkh·匸二〢ㅌ
돂	hbka·匸二〢ㅍ
돃	hbks·匸二〢ㅎ
도	hia·匸丨一
독	hiax·匸丨一𠃍
돆	hixx·匸丨一𠃍𠃍
돇	hixo·匸丨一𠃍人
돈	hiaz·匸丨一𠃊
돉	hiza·匸丨一𠃊ㅈ
돊	hizs·匸丨一𠃊ㅎ
돋	hiah·匸丨一匸
돌	hiay·匸丨一己
돍	hiyx·匸丨一己𠃍
돎	hiyj·匸丨一己口
돏	hiyk·匸丨一己ㅂ
돐	hiyo·匸丨一己人
돑	hiyh·匸丨一己ㅌ
돒	hiya·匸丨一己ㅍ
돓	hiys·匸丨一己ㅎ
돔	hiaj·匸丨一口
돕	hiak·匸丨一ㅂ
돖	hiko·匸丨一ㅂ人
돗	hiao·匸丨一人
돘	hiao·匸丨一ㅆ
동	hiaj·匸丨一㇣
돚	hiaa·匸丨一ㅈ
돛	hiso·匸丨一亠人
돜	hixa·匸丨一𠃍一
돝	hiah·匸丨一ㅌ
돞	hiaa·匸丨一ㅍ
돟	hias·匸丨一ㅎ
돠	hiai·匸丨一⺊
돡	hiix·匸丨一⺊𠃍
돢	hixx·匸丨一⺊𠃍𠃍
돣	hixo·匸丨一⺊𠃍人
돤	hiiz·匸丨一⺊𠃊
돥	hiza·匸丨一⺊𠃊ㅈ
돦	hizs·匸丨一⺊𠃊ㅎ
돧	hiih·匸丨一⺊匸
돨	hiiy·匸丨一⺊己
돩	hiyx·匸丨一⺊己𠃍
돪	hiyj·匸丨一⺊己口
돫	hiyk·匸丨一⺊己ㅂ
돬	hiyo·匸丨一⺊己人
돭	hiyh·匸丨一⺊己ㅌ
돮	hiya·匸丨一⺊己ㅍ
돯	hiys·匸丨一⺊己ㅎ
돰	hiij·匸丨一⺊口
돱	hiik·匸丨一⺊ㅂ
돲	hiko·匸丨一⺊ㅂ人
돳	hiio·匸丨一⺊人
돴	hiio·匸丨一⺊ㅆ
돵	hiij·匸丨一⺊㇣
돶	hiia·匸丨一⺊ㅈ
돷	hiso·匸丨一⺊亠人
돸	hixa·匸丨一⺊𠃍一
돹	hiih·匸丨一⺊ㅌ
돺	hiia·匸丨一⺊ㅍ
돻	hiis·匸丨一⺊ㅎ
돼	hika·匸丨一〢一
돽	hiax·匸丨一〢一𠃍
돾	hixx·匸丨一〢一𠃍𠃍
돿	hixo·匸丨一〢一𠃍人
됀	hiaz·匸丨一〢一𠃊
됁	hiza·匸丨一〢一𠃊ㅈ
됂	hizs·匸丨一〢一𠃊ㅎ
됃	hiah·匸丨一〢一匸
됄	hiay·匸丨一〢一己
됅	hiyx·匸丨一〢一己𠃍
됆	hiyj·匸丨一〢一己口
됇	hiyk·匸丨一〢一己ㅂ
됈	hiyo·匸丨一〢一己人
됉	hiyh·匸丨一〢一己ㅌ
됊	hiya·匸丨一〢一己ㅍ
됋	hiys·匸丨一〢一己ㅎ
됌	hiaj·匸丨一〢一口
됍	hiak·匸丨一〢一ㅂ
됎	hiko·匸丨一〢一ㅂ人
됏	hiao·匸丨一〢一人
됐	hiao·匸丨一〢一ㅆ
됑	hiaj·匸丨一〢一㇣
됒	hiaa·匸丨一〢一ㅈ
됓	hiso·匸丨一〢一亠人
됔	hixa·匸丨一〢一𠃍一
됕	hiah·匸丨一〢一ㅌ
됖	hiaa·匸丨一〢一ㅍ
됗	hias·匸丨一〢一ㅎ
되	hiai·匸丨一丨
됙	hiix·匸丨一丨𠃍
됚	hixx·匸丨一丨𠃍𠃍
됛	hixo·匸丨一丨𠃍人
된	hiiz·匸丨一丨𠃊
됝	hiza·匸丨一丨𠃊ㅈ
됞	hizs·匸丨一丨𠃊ㅎ
됟	hiih·匸丨一丨匸
될	hiiy·匸丨一丨己
됡	hiyx·匸丨一丨己𠃍
됢	hiyj·匸丨一丨己口
됣	hiyk·匸丨一丨己ㅂ
됤	hiyo·匸丨一丨己人
됥	hiyh·匸丨一丨己ㅌ
됦	hiya·匸丨一丨己ㅍ
됧	hiys·匸丨一丨己ㅎ
됨	hiij·匸丨一丨口
됩	hiik·匸丨一丨ㅂ
됪	hiko·匸丨一丨ㅂ人
됫	hiio·匸丨一丨人
됬	hiio·匸丨一丨ㅆ
됭	hiij·匸丨一丨㇣
됮	hiia·匸丨一丨ㅈ
됯	hiso·匸丨一丨亠人
됰	hixa·匸丨一丨𠃍一
됱	hiih·匸丨一丨ㅌ
됲	hiia·匸丨一丨ㅍ
됳	hiis·匸丨一丨ㅎ
됴	hka·匸〢一
됵	hkax·匸〢一𠃍
됶	hkxx·匸〢一𠃍𠃍
됷	hkxo·匸〢一𠃍人
됸	hkaz·匸〢一𠃊
됹	hkza·匸〢一𠃊ㅈ
됺	hkzs·匸〢一𠃊ㅎ
됻	hkah·匸〢一匸
됼	hkay·匸〢一己
됽	hkyx·匸〢一己𠃍
됾	hkyj·匸〢一己口
됿	hkyk·匸〢一己ㅂ
둀	hkyo·匸〢一己人
둁	hkyh·匸〢一己ㅌ
둂	hkya·匸〢一己ㅍ
둃	hkys·匸〢一己ㅎ
둄	hkaj·匸〢一口
둅	hkak·匸〢一ㅂ
둆	hkko·匸〢一ㅂ人
둇	hkao·匸〢一人
둈	hkao·匸〢一ㅆ
둉	hkaj·匸〢一㇣
둊	hkaa·匸〢一ㅈ
둋	hkso·匸〢一亠人
둌	hkxa·匸〢一𠃍一
둍	hkah·匸〢一ㅌ
둎	hkaa·匸〢一ㅍ
둏	hkas·匸〢一ㅎ
두	hai·匸丅
둑	hax·匸丅𠃍
둒	haxx·匸丅𠃍𠃍
둓	haxo·匸丅𠃍人
둔	haz·匸丅𠃊
둕	haza·匸丅𠃊ㅈ
둖	hazs·匸丅𠃊ㅎ
둗	hah·匸丅匸
둘	hayy·匸丅己
둙	hayx·匸丅己𠃍
둚	hayj·匸丅己口
둛	hayk·匸丅己ㅂ
둜	hayo·匸丅己人
둝	hayh·匸丅己ㅌ
둞	haya·匸丅己ㅍ
둟	hays·匸丅己ㅎ
둠	haj·匸丅口
둡	hakb·匸丅ㅂ
둢	hako·匸丅ㅂ人
둣	haod·匸丅人
둤	haoo·匸丅ㅆ
둥	haj·匸丅㇣
둦	haao·匸丅ㅈ
둧	haso·匸丅亠人
둨	haxa·匸丅𠃍一
둩	hah·匸丅ㅌ
둪	haau·匸丅ㅍ
둫	has·匸丅ㅎ
둬	haai·匸丅一丨
둭	haix·匸丅一丨𠃍
둮	haxx·匸丅一丨𠃍𠃍
둯	haxo·匸丅一丨𠃍人
둰	haiz·匸丅一丨𠃊
둱	haza·匸丅一丨𠃊ㅈ
둲	hazs·匸丅一丨𠃊ㅎ
둳	haih·匸丅一丨匸
둴	haiy·匸丅一丨己
둵	hayx·匸丅一丨己𠃍
둶	hayj·匸丅一丨己口
둷	hayk·匸丅一丨己ㅂ
둸	hayo·匸丅一丨己人
둹	hayh·匸丅一丨己ㅌ
둺	haya·匸丅一丨己ㅍ
둻	hays·匸丅一丨己ㅎ
둼	haij·匸丅一丨口
둽	haik·匸丅一丨ㅂ
둾	hako·匸丅一丨ㅂ人
둿	haio·匸丅一丨人
뒀	haio·匸丅一丨ㅆ
뒁	haij·匸丅一丨㇣
뒂	haia·匸丅一丨ㅈ
뒃	haso·匸丅一丨亠人
뒄	haxa·匸丅一丨𠃍一
뒅	haih·匸丅一丨ㅌ
뒆	haia·匸丅一丨ㅍ
뒇	hais·匸丅一丨ㅎ
뒈	haak·匸丅一〢
뒉	hakx·匸丅一〢𠃍
뒊	haxx·匸丅一〢𠃍𠃍
뒋	haxo·匸丅一〢𠃍人
뒌	hakz·匸丅一〢𠃊
뒍	haza·匸丅一〢𠃊ㅈ
뒎	hazs·匸丅一〢𠃊ㅎ
뒏	hakh·匸丅一〢匸
뒐	haky·匸丅一〢己
뒑	hayx·匸丅一〢己𠃍
뒒	hayj·匸丅一〢己口
뒓	hayk·匸丅一〢己ㅂ
뒔	hayo·匸丅一〢己人
뒕	hayh·匸丅一〢己ㅌ
뒖	haya·匸丅一〢己ㅍ
뒗	hays·匸丅一〢己ㅎ
뒘	hakj·匸丅一〢口
뒙	hakk·匸丅一〢ㅂ
뒚	hako·匸丅一〢ㅂ人
뒛	hako·匸丅一〢人
뒜	hako·匸丅一〢ㅆ
뒝	hakj·匸丅一〢㇣
뒞	haka·匸丅一〢ㅈ
뒟	haso·匸丅一〢亠人
뒠	haxa·匸丅一〢𠃍一
뒡	hakh·匸丅一〢ㅌ
뒢	haka·匸丅一〢ㅍ
뒣	haks·匸丅一〢ㅎ
뒤	hai·匸丅丨
뒥	haix·匸丅丨𠃍
뒦	haxx·匸丅丨𠃍𠃍
뒧	haxo·匸丅丨𠃍人
뒨	haiz·匸丅丨𠃊
뒩	haza·匸丅丨𠃊ㅈ
뒪	hazs·匸丅丨𠃊ㅎ
뒫	haih·匸丅丨匸
뒬	haiy·匸丅丨己
뒭	hayx·匸丅丨己𠃍
뒮	hayj·匸丅丨己口
뒯	hayk·匸丅丨己ㅂ
뒰	hayo·匸丅丨己人
뒱	hayh·匸丅丨己ㅌ
뒲	haya·匸丅丨己ㅍ
뒳	hays·匸丅丨己ㅎ
뒴	haij·匸丅丨口
뒵	haik·匸丅丨ㅂ
뒶	hako·匸丅丨ㅂ人
뒷	haio·匸丅丨人
뒸	haio·匸丅丨ㅆ
뒹	haij·匸丅丨㇣
뒺	haia·匸丅丨ㅈ
뒻	haso·匸丅丨亠人
뒼	haxa·匸丅丨𠃍一
뒽	haih·匸丅丨ㅌ
뒾	haia·匸丅丨ㅍ
뒿	hais·匸丅丨ㅎ
듀	hakd·匸一〢
듁	hakx·匸一〢𠃍
듂	haxx·匸一〢𠃍𠃍
듃	haxo·匸一〢𠃍人
듄	hakz·匸一〢𠃊
듅	haza·匸一〢𠃊ㅈ
듆	hazs·匸一〢𠃊ㅎ
듇	hakh·匸一〢匸
듈	haky·匸一〢己
듉	hayx·匸一〢己𠃍
듊	hayj·匸一〢己口
듋	hayk·匸一〢己ㅂ
듌	hayo·匸一〢己人
듍	hayh·匸一〢己ㅌ
듎	haya·匸一〢己ㅍ
듏	hays·匸一〢己ㅎ
듐	hakj·匸一〢口
듑	hakk·匸一〢ㅂ
듒	hako·匸一〢ㅂ人
듓	hako·匸一〢人
듔	hako·匸一〢ㅆ
듕	hakj·匸一〢㇣
듖	haka·匸一〢ㅈ
듗	haso·匸一〢亠人
듘	haxa·匸一〢𠃍一
듙	hakh·匸一〢ㅌ
듚	haka·匸一〢ㅍ
듛	haks·匸一〢ㅎ
드	havv·匸一
득	hax·匸一𠃍
듞	haxx·匸一𠃍𠃍
듟	haxo·匸一𠃍人
든	haz·匸一𠃊
듡	haza·匸一𠃊ㅈ
듢	hazs·匸一𠃊ㅎ
듣	hah·匸一匸
들	hayy·匸一己
듥	hayx·匸一己𠃍
듦	hayj·匸一己口
듧	hayk·匸一己ㅂ
듨	hayo·匸一己人
듩	hayh·匸一己ㅌ
듪	haya·匸一己ㅍ
듫	hays·匸一己ㅎ
듬	haj·匸一口
듭	hakb·匸一ㅂ
듮	hako·匸一ㅂ人
듯	haod·匸一人
듰	haoo·匸一ㅆ
등	haj·匸一㇣
듲	haao·匸一ㅈ
듳	haso·匸一亠人
듴	haxa·匸一𠃍一
듵	hah·匸一ㅌ
듶	haau·匸一ㅍ
듷	has·匸一ㅎ
듸	hai·匸一丨
듹	haix·匸一丨𠃍
듺	haxx·匸一丨𠃍𠃍
듻	haxo·匸一丨𠃍人
듼	haiz·匸一丨𠃊
듽	haza·匸一丨𠃊ㅈ
듾	hazs·匸一丨𠃊ㅎ
듿	haih·匸一丨匸
딀	haiy·匸一丨己
딁	hayx·匸一丨己𠃍
딂	hayj·匸一丨己口
딃	hayk·匸一丨己ㅂ
딄	hayo·匸一丨己人
딅	hayh·匸一丨己ㅌ
딆	haya·匸一丨己ㅍ
딇	hays·匸一丨己ㅎ
딈	haij·匸一丨口
딉	haik·匸一丨ㅂ
딊	hako·匸一丨ㅂ人
딋	haio·匸一丨人
딌	haio·匸一丨ㅆ
딍	haij·匸一丨㇣
딎	haia·匸一丨ㅈ
딏	haso·匸一丨亠人
딐	haxa·匸一丨𠃍一
딑	haih·匸一丨ㅌ
딒	haia·匸一丨ㅍ
딓	hais·匸一丨ㅎ
디	hivv·匸丨
딕	hix·匸丨𠃍
딖	hixx·匸丨𠃍𠃍
딗	hixo·匸丨𠃍人
딘	hiz·匸丨𠃊
딙	hiza·匸丨𠃊ㅈ
딚	hizs·匸丨𠃊ㅎ
딛	hih·匸丨匸
딜	hiyy·匸丨己
딝	hiyx·匸丨己𠃍
딞	hiyj·匸丨己口
딟	hiyk·匸丨己ㅂ
딠	hiyo·匸丨己人
딡	hiyh·匸丨己ㅌ
딢	hiya·匸丨己ㅍ
딣	hiys·匸丨己ㅎ
딤	hij·匸丨口
딥	hikb·匸丨ㅂ
딦	hiko·匸丨ㅂ人
딧	hiod·匸丨人
딨	hioo·匸丨ㅆ
딩	hij·匸丨㇣
딪	hiao·匸丨ㅈ
딫	hiso·匸丨亠人
딬	hixa·匸丨𠃍一
딭	hih·匸丨ㅌ
딮	hiau·匸丨ㅍ
딯	his·匸丨ㅎ
따	hhid·匸匸⺊
딱	hhix·匸匸⺊𠃍
딲	hhxx·匸匸⺊𠃍𠃍
딳	hhxo·匸匸⺊𠃍人
딴	hhiz·匸匸⺊𠃊
딵	hhza·匸匸⺊𠃊ㅈ
딶	hhzs·匸匸⺊𠃊ㅎ
딷	hhih·匸匸⺊匸
딸	hhiy·匸匸⺊己
딹	hhyx·匸匸⺊己𠃍
딺	hhyj·匸匸⺊己口
딻	hhyk·匸匸⺊己ㅂ
딼	hhyo·匸匸⺊己人
딽	hhyh·匸匸⺊己ㅌ
딾	hhya·匸匸⺊己ㅍ
딿	hhys·匸匸⺊己ㅎ
땀	hhij·匸匸⺊口
땁	hhik·匸匸⺊ㅂ
땂	hhko·匸匸⺊ㅂ人
땃	hhio·匸匸⺊人
땄	hhio·匸匸⺊ㅆ
땅	hhij·匸匸⺊㇣
땆	hhia·匸匸⺊ㅈ
땇	hhso·匸匸⺊亠人
땈	hhxa·匸匸⺊𠃍一
땉	hhih·匸匸⺊ㅌ
땊	hhia·匸匸⺊ㅍ
땋	hhis·匸匸⺊ㅎ
때	hhka·匸匸〢一
땍	hhax·匸匸〢一𠃍
땎	hhxx·匸匸〢一𠃍𠃍
땏	hhxo·匸匸〢一𠃍人
땐	hhaz·匸匸〢一𠃊
땑	hhza·匸匸〢一𠃊ㅈ
땒	hhzs·匸匸〢一𠃊ㅎ
땓	hhah·匸匸〢一匸
땔	hhay·匸匸〢一己
땕	hhyx·匸匸〢一己𠃍
땖	hhyj·匸匸〢一己口
땗	hhyk·匸匸〢一己ㅂ
땘	hhyo·匸匸〢一己人
땙	hhyh·匸匸〢一己ㅌ
땚	hhya·匸匸〢一己ㅍ
땛	hhys·匸匸〢一己ㅎ
땜	hhaj·匸匸〢一口
땝	hhak·匸匸〢一ㅂ
땞	hhko·匸匸〢一ㅂ人
땟	hhao·匸匸〢一人
땠	hhao·匸匸〢一ㅆ
땡	hhaj·匸匸〢一㇣
땢	hhaa·匸匸〢一ㅈ
땣	hhso·匸匸〢一亠人
땤	hhxa·匸匸〢一𠃍一
땥	hhah·匸匸〢一ㅌ
땦	hhaa·匸匸〢一ㅍ
땧	hhas·匸匸〢一ㅎ
땨	hhid·匸匸ㅑ
땩	hhix·匸匸ㅑ𠃍
땪	hhxx·匸匸ㅑ𠃍𠃍
땫	hhxo·匸匸ㅑ𠃍人
땬	hhiz·匸匸ㅑ𠃊
땭	hhza·匸匸ㅑ𠃊ㅈ
땮	hhzs·匸匸ㅑ𠃊ㅎ
땯	hhih·匸匸ㅑ匸
땰	hhiy·匸匸ㅑ己
땱	hhyx·匸匸ㅑ己𠃍
땲	hhyj·匸匸ㅑ己口
땳	hhyk·匸匸ㅑ己ㅂ
땴	hhyo·匸匸ㅑ己人
땵	hhyh·匸匸ㅑ己ㅌ
땶	hhya·匸匸ㅑ己ㅍ
땷	hhys·匸匸ㅑ己ㅎ
땸	hhij·匸匸ㅑ口
땹	hhik·匸匸ㅑㅂ
땺	hhko·匸匸ㅑㅂ人
땻	hhio·匸匸ㅑ人
땼	hhio·匸匸ㅑㅆ
땽	hhij·匸匸ㅑ㇣
땾	hhia·匸匸ㅑㅈ
땿	hhso·匸匸ㅑ亠人
떀	hhxa·匸匸ㅑ𠃍一
떁	hhih·匸匸ㅑㅌ
떂	hhia·匸匸ㅑㅍ
떃	hhis·匸匸ㅑㅎ
떄	hhkd·匸匸ㅒ
떅	hhkx·匸匸ㅒ𠃍
떆	hhxx·匸匸ㅒ𠃍𠃍
떇	hhxo·匸匸ㅒ𠃍人
떈	hhkz·匸匸ㅒ𠃊
떉	hhza·匸匸ㅒ𠃊ㅈ
떊	hhzs·匸匸ㅒ𠃊ㅎ
떋	hhkh·匸匸ㅒ匸
떌	hhky·匸匸ㅒ己
떍	hhyx·匸匸ㅒ己𠃍
떎	hhyj·匸匸ㅒ己口
떏	hhyk·匸匸ㅒ己ㅂ
떐	hhyo·匸匸ㅒ己人
떑	hhyh·匸匸ㅒ己ㅌ
떒	hhya·匸匸ㅒ己ㅍ
떓	hhys·匸匸ㅒ己ㅎ
떔	hhkj·匸匸ㅒ口
떕	hhkk·匸匸ㅒㅂ
떖	hhko·匸匸ㅒㅂ人
떗	hhko·匸匸ㅒ人
떘	hhko·匸匸ㅒㅆ
떙	hhkj·匸匸ㅒ㇣
떚	hhka·匸匸ㅒㅈ
떛	hhso·匸匸ㅒ亠人
떜	hhxa·匸匸ㅒ𠃍一
떝	hhkh·匸匸ㅒㅌ
떞	hhka·匸匸ㅒㅍ
떟	hhks·匸匸ㅒㅎ
떠	hhai·匸匸一丨
떡	hhix·匸匸一丨𠃍
떢	hhxx·匸匸一丨𠃍𠃍
떣	hhxo·匸匸一丨𠃍人
떤	hhiz·匸匸一丨𠃊
떥	hhza·匸匸一丨𠃊ㅈ
떦	hhzs·匸匸一丨𠃊ㅎ
떧	hhih·匸匸一丨匸
떨	hhiy·匸匸一丨己
떩	hhyx·匸匸一丨己𠃍
떪	hhyj·匸匸一丨己口
떫	hhyk·匸匸一丨己ㅂ
떬	hhyo·匸匸一丨己人
떭	hhyh·匸匸一丨己ㅌ
떮	hhya·匸匸一丨己ㅍ
떯	hhys·匸匸一丨己ㅎ
떰	hhij·匸匸一丨口
떱	hhik·匸匸一丨ㅂ
떲	hhko·匸匸一丨ㅂ人
떳	hhio·匸匸一丨人
떴	hhio·匸匸一丨ㅆ
떵	hhij·匸匸一丨㇣
떶	hhia·匸匸一丨ㅈ
떷	hhso·匸匸一丨亠人
떸	hhxa·匸匸一丨𠃍一
떹	hhih·匸匸一丨ㅌ
떺	hhia·匸匸一丨ㅍ
떻	hhis·匸匸一丨ㅎ
떼	hhak·匸匸一〢
떽	hhkx·匸匸一〢𠃍
떾	hhxx·匸匸一〢𠃍𠃍
떿	hhxo·匸匸一〢𠃍人
뗀	hhkz·匸匸一〢𠃊
뗁	hhza·匸匸一〢𠃊ㅈ
뗂	hhzs·匸匸一〢𠃊ㅎ
뗃	hhkh·匸匸一〢匸
뗄	hhky·匸匸一〢己
뗅	hhyx·匸匸一〢己𠃍
뗆	hhyj·匸匸一〢己口
뗇	hhyk·匸匸一〢己ㅂ
뗈	hhyo·匸匸一〢己人
뗉	hhyh·匸匸一〢己ㅌ
뗊	hhya·匸匸一〢己ㅍ
뗋	hhys·匸匸一〢己ㅎ
뗌	hhkj·匸匸一〢口
뗍	hhkk·匸匸一〢ㅂ
뗎	hhko·匸匸一〢ㅂ人
뗏	hhko·匸匸一〢人
뗐	hhko·匸匸一〢ㅆ
뗑	hhkj·匸匸一〢㇣
뗒	hhka·匸匸一〢ㅈ
뗓	hhso·匸匸一〢亠人
뗔	hhxa·匸匸一〢𠃍一
뗕	hhkh·匸匸一〢ㅌ
뗖	hhka·匸匸一〢ㅍ
뗗	hhks·匸匸一〢ㅎ
뗘	hhbi·匸匸二丨
뗙	hhix·匸匸二丨𠃍
뗚	hhxx·匸匸二丨𠃍𠃍
뗛	hhxo·匸匸二丨𠃍人
뗜	hhiz·匸匸二丨𠃊
뗝	hhza·匸匸二丨𠃊ㅈ
뗞	hhzs·匸匸二丨𠃊ㅎ
뗟	hhih·匸匸二丨匸
뗠	hhiy·匸匸二丨己
뗡	hhyx·匸匸二丨己𠃍
뗢	hhyj·匸匸二丨己口
뗣	hhyk·匸匸二丨己ㅂ
뗤	hhyo·匸匸二丨己人
뗥	hhyh·匸匸二丨己ㅌ
뗦	hhya·匸匸二丨己ㅍ
뗧	hhys·匸匸二丨己ㅎ
뗨	hhij·匸匸二丨口
뗩	hhik·匸匸二丨ㅂ
뗪	hhko·匸匸二丨ㅂ人
뗫	hhio·匸匸二丨人
뗬	hhio·匸匸二丨ㅆ
뗭	hhij·匸匸二丨㇣
뗮	hhia·匸匸二丨ㅈ
뗯	hhso·匸匸二丨亠人
뗰	hhxa·匸匸二丨𠃍一
뗱	hhih·匸匸二丨ㅌ
뗲	hhia·匸匸二丨ㅍ
뗳	hhis·匸匸二丨ㅎ
뗴	hhbk·匸匸二〢
뗵	hhkx·匸匸二〢𠃍
뗶	hhxx·匸匸二〢𠃍𠃍
뗷	hhxo·匸匸二〢𠃍人
뗸	hhkz·匸匸二〢𠃊
뗹	hhza·匸匸二〢𠃊ㅈ
뗺	hhzs·匸匸二〢𠃊ㅎ
뗻	hhkh·匸匸二〢匸
뗼	hhky·匸匸二〢己
뗽	hhyx·匸匸二〢己𠃍
뗾	hhyj·匸匸二〢己口
뗿	hhyk·匸匸二〢己ㅂ
똀	hhyo·匸匸二〢己人
똁	hhyh·匸匸二〢己ㅌ
똂	hhya·匸匸二〢己ㅍ
똃	hhys·匸匸二〢己ㅎ
똄	hhkj·匸匸二〢口
똅	hhkk·匸匸二〢ㅂ
똆	hhko·匸匸二〢ㅂ人
똇	hhko·匸匸二〢人
똈	hhko·匸匸二〢ㅆ
똉	hhkj·匸匸二〢㇣
똊	hhka·匸匸二〢ㅈ
똋	hhso·匸匸二〢亠人
똌	hhxa·匸匸二〢𠃍一
똍	hhkh·匸匸二〢ㅌ
똎	hhka·匸匸二〢ㅍ
똏	hhks·匸匸二〢ㅎ
또	hhia·匸匸丨一
똑	hhax·匸匸丨一𠃍
똒	hhxx·匸匸丨一𠃍𠃍
똓	hhxo·匸匸丨一𠃍人
똔	hhaz·匸匸丨一𠃊
똕	hhza·匸匸丨一𠃊ㅈ
똖	hhzs·匸匸丨一𠃊ㅎ
똗	hhah·匸匸丨一匸
똘	hhay·匸匸丨一己
똙	hhyx·匸匸丨一己𠃍
똚	hhyj·匸匸丨一己口
똛	hhyk·匸匸丨一己ㅂ
똜	hhyo·匸匸丨一己人
똝	hhyh·匸匸丨一己ㅌ
똞	hhya·匸匸丨一己ㅍ
똟	hhys·匸匸丨一己ㅎ
똠	hhaj·匸匸丨一口
똡	hhak·匸匸丨一ㅂ
똢	hhko·匸匸丨一ㅂ人
똣	hhao·匸匸丨一人
똤	hhao·匸匸丨一ㅆ
똥	hhaj·匸匸丨一㇣
똦	hhaa·匸匸丨一ㅈ
똧	hhso·匸匸丨一亠人
똨	hhxa·匸匸丨一𠃍一
똩	hhah·匸匸丨一ㅌ
똪	hhaa·匸匸丨一ㅍ
똫	hhas·匸匸丨一ㅎ
똬	hhai·匸匸丨一⺊
똭	hhix·匸匸丨一⺊𠃍
똮	hhxx·匸匸丨一⺊𠃍𠃍
똯	hhxo·匸匸丨一⺊𠃍人
똰	hhiz·匸匸丨一⺊𠃊
똱	hhza·匸匸丨一⺊𠃊ㅈ
똲	hhzs·匸匸丨一⺊𠃊ㅎ
똳	hhih·匸匸丨一⺊匸
똴	hhiy·匸匸丨一⺊己
똵	hhyx·匸匸丨一⺊己𠃍
똶	hhyj·匸匸丨一⺊己口
똷	hhyk·匸匸丨一⺊己ㅂ
똸	hhyo·匸匸丨一⺊己人
똹	hhyh·匸匸丨一⺊己ㅌ
똺	hhya·匸匸丨一⺊己ㅍ
똻	hhys·匸匸丨一⺊己ㅎ
똼	hhij·匸匸丨一⺊口
똽	hhik·匸匸丨一⺊ㅂ
똾	hhko·匸匸丨一⺊ㅂ人
똿	hhio·匸匸丨一⺊人
뙀	hhio·匸匸丨一⺊ㅆ
뙁	hhij·匸匸丨一⺊㇣
뙂	hhia·匸匸丨一⺊ㅈ
뙃	hhso·匸匸丨一⺊亠人
뙄	hhxa·匸匸丨一⺊𠃍一
뙅	hhih·匸匸丨一⺊ㅌ
뙆	hhia·匸匸丨一⺊ㅍ
뙇	hhis·匸匸丨一⺊ㅎ
뙈	hhka·匸匸丨一〢一
뙉	hhax·匸匸丨一〢一𠃍
뙊	hhxx·匸匸丨一〢一𠃍𠃍
뙋	hhxo·匸匸丨一〢一𠃍人
뙌	hhaz·匸匸丨一〢一𠃊
뙍	hhza·匸匸丨一〢一𠃊ㅈ
뙎	hhzs·匸匸丨一〢一𠃊ㅎ
뙏	hhah·匸匸丨一〢一匸
뙐	hhay·匸匸丨一〢一己
뙑	hhyx·匸匸丨一〢一己𠃍
뙒	hhyj·匸匸丨一〢一己口
뙓	hhyk·匸匸丨一〢一己ㅂ
뙔	hhyo·匸匸丨一〢一己人
뙕	hhyh·匸匸丨一〢一己ㅌ
뙖	hhya·匸匸丨一〢一己ㅍ
뙗	hhys·匸匸丨一〢一己ㅎ
뙘	hhaj·匸匸丨一〢一口
